date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:03:20	94/94	---MCZ	200	added ('OK')	text/plain	etag:W/%2263c52949-4e%22	https://www.shankangke.com/robots.txt		(from )
01:03:21	39189/39189	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Jan%202023%2011:54:13%20GMT	https://www.shankangke.com/	./httrack/www.shankangke.com/index.html	(from )
01:03:22	94889/94889	---MCZ	200	added ('OK')	text/css	etag:W/%22636e62ad-172a9%22	https://www.shankangke.com/wp-includes/css/dist/block-library/style.min.css?ver=4225888bc11c4a17b89c52132f080766	./httrack/www.shankangke.com/wp-includes/css/dist/block-library/style.min1bee.css	(from https://www.shankangke.com/)
01:03:22	39476/39476	---MCZ	200	added ('OK')	text/html	date:Sun,%2022%20Jan%202023%2016:42:47%20GMT	https://www.shankangke.com/home-zh/	./httrack/www.shankangke.com/home-zh/index.html	(from https://www.shankangke.com/)
01:03:23	217/217	---MCZ	200	added ('OK')	text/css	etag:W/%226357e86c-d9%22	https://www.shankangke.com/wp-includes/css/classic-themes.min.css?ver=1	./httrack/www.shankangke.com/wp-includes/css/classic-themes.min68b3.css	(from https://www.shankangke.com/)
01:03:24	809/809	---M--	200	added ('OK')	application/rss+xml	etag:%2211720266accd8e8392edf92a48a2c8ef%22	https://www.shankangke.com/feed/	./httrack/www.shankangke.com/feed/index.html	(from https://www.shankangke.com/)
01:03:24	37265/37265	---MC-	404	error ('Not%20Found')	application/rss+xml	etag:%2211720266accd8e8392edf92a48a2c8ef%22	https://www.shankangke.com/comments/feed/	./httrack/www.shankangke.com/comments/feed/index.html	(from https://www.shankangke.com/)
01:03:24	3358/3358	---MCZ	200	added ('OK')	text/css	etag:W/%2263c5100b-d1e%22	https://www.shankangke.com/wp-content/themes/generatepress/assets/css/components/widget-areas.min.css?ver=3.2.4	./httrack/www.shankangke.com/wp-content/themes/generatepress/assets/css/components/widget-areas.mine1e3.css	(from https://www.shankangke.com/)
01:03:26	19566/19566	---MCZ	200	added ('OK')	text/css	etag:W/%2263c5100b-4c6e%22	https://www.shankangke.com/wp-content/themes/generatepress/assets/css/main.min.css?ver=3.2.4	./httrack/www.shankangke.com/wp-content/themes/generatepress/assets/css/main.mine1e3.css	(from https://www.shankangke.com/)
01:03:27	8842/8842	---MCZ	200	added ('OK')	application/json	date:Tue,%2024%20Jan%202023%2001:03:26%20GMT	https://www.shankangke.com/wp-json/wp/v2/pages/12	./httrack/www.shankangke.com/wp-json/wp/v2/pages/12.json	(from https://www.shankangke.com/)
01:03:28	823/823	---MCZ	200	added ('OK')	text/xml	date:Tue,%2024%20Jan%202023%2001:03:28%20GMT	https://www.shankangke.com/xmlrpc.php?rsd	./httrack/www.shankangke.com/xmlrpc0db0.php	(from https://www.shankangke.com/)
01:03:28	177493/177493	---MCZ	200	added ('OK')	application/json	date:Tue,%2024%20Jan%202023%2001:03:28%20GMT	https://www.shankangke.com/wp-json/	./httrack/www.shankangke.com/wp-json/index.html	(from https://www.shankangke.com/)
01:03:28	1045/1045	---MCZ	200	added ('OK')	text/xml	etag:W/%2252a8c1b7-415%22	https://www.shankangke.com/wp-includes/wlwmanifest.xml	./httrack/www.shankangke.com/wp-includes/wlwmanifest.xml	(from https://www.shankangke.com/)
01:03:30	2394/2394	---MCZ	200	added ('OK')	application/json	date:Tue,%2024%20Jan%202023%2001:03:29%20GMT	https://www.shankangke.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.shankangke.com%2F	./httrack/www.shankangke.com/wp-json/oembed/1.0/embed29f1.json	(from https://www.shankangke.com/)
01:03:31	2465/2465	---MCZ	200	added ('OK')	text/xml	date:Tue,%2024%20Jan%202023%2001:03:30%20GMT	https://www.shankangke.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.shankangke.com%2F&format=xml	./httrack/www.shankangke.com/wp-json/oembed/1.0/embed3246	(from https://www.shankangke.com/)
01:03:31	1696/1696	---M--	200	added ('OK')	image/png	etag:%2263c4df72-6a0%22	https://www.shankangke.com/apple-touch-icon.png	./httrack/www.shankangke.com/apple-touch-icon.png	(from https://www.shankangke.com/)
